date,author,notebook,url,votes,claimed_score,visible_score,last_update,method_family,stateful,stateless,crop_strategy,livestock_strategy,land_strategy,labor_strategy,market_strategy,routing_strategy,replay_based,source_available,license,notes
"2026-09-07","bovard","Kaggriculture: Getting Started","https://www.kaggle.com/code/bovard/kaggriculture-getting-started","983","UNKNOWN","281.5","2026-07-31","tutorial rule-based","UNKNOWN","UNKNOWN","MELON only","none","none","farmer only","threshold sale","nearest empty","no","yes; ipynb downloaded","Apache-2.0; page verified","v4; read markdown and API examples; stale internal competition link; not adopted; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","boatlee","V16-RC5 | High-Score 8C/4S Premium Market Lead","https://www.kaggle.com/code/boatlee/v16-rc5-high-score-8c-4s-premium-market-lead","310","UNKNOWN","1312.2","2026-08-12","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","kaitofukami","25/27 Strict-Future | v27 Midgame Meta Reset","https://www.kaggle.com/code/kaitofukami/25-27-strict-future-v27-midgame-meta-reset","192","UNKNOWN","1085.4","2026-08-10","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","raykkretzschmar","Kaggriculture: Findings from Zero to Top Meta","https://www.kaggle.com/code/raykkretzschmar/kaggriculture-findings-from-zero-to-top-meta","186","UNKNOWN","UNKNOWN","2026-08-11","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","tetsutani","Adaptive Farming Strategy for Kaggriculture","https://www.kaggle.com/code/tetsutani/adaptive-farming-strategy-for-kaggriculture","141","UNKNOWN","1569.9","2026-08-20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","kaitofukami","40/40 Early Floor | 39/46 Top-10 | v48 Fast Routes","https://www.kaggle.com/code/kaitofukami/40-40-early-floor-39-46-top-10-v48-fast-routes","131","UNKNOWN","UNKNOWN","2026-08-25","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","romantamrazov","Kaggriculture | Hamburger","https://www.kaggle.com/code/romantamrazov/kaggriculture-hamburger","129","UNKNOWN","1421","2026-08-04","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","yhay81","Six-Day Public-State Fieldbook","https://www.kaggle.com/code/yhay81/six-day-public-state-fieldbook","127","UNKNOWN","2624.1","2026-09-02","public-state route portfolio","UNKNOWN","UNKNOWN","route-dependent","route-dependent","route-dependent","route-dependent","block cash budget; sell only surplus","five 144-turn blocks","yes","yes; ipynb downloaded","Apache-2.0; page verified","v3; author reports 24064 frozen games and 0.9485 points; not reproduced; external source dataset not yet reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","yhay81","Three-Day Shop Router","https://www.kaggle.com/code/yhay81/three-day-shop-router","121","UNKNOWN","UNKNOWN","2026-09-03","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","boatlee","84/84 Base+Public Holdout | V14 Clone Preemption","https://www.kaggle.com/code/boatlee/84-84-base-public-holdout-v14-clone-preemption","114","UNKNOWN","UNKNOWN","2026-08-08","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","tetsutani","Shape the Shop Work the Pasture | Kaggriculture","https://www.kaggle.com/code/tetsutani/shape-the-shop-work-the-pasture-kaggriculture","113","UNKNOWN","2542.6","2026-09-07","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
"2026-09-07","raykkretzschmar","Kaggriculture Rank Your Agent","https://www.kaggle.com/code/raykkretzschmar/kaggriculture-rank-your-agent","106","UNKNOWN","1075.7","2026-08-18","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","CATALOG_ONLY; not source reviewed; title ASCII-normalized; dates local day precision; scores transient; no code adopted"
