topic,author,date,url,claim,evidence,Kaggle_staff_confirmed,experiment_needed,risk
"Final Bradley-Terry scoring: three clarifications (team score, ties, play rate)","aisamhottman","2026-09-04","https://www.kaggle.com/competitions/kaggriculture/discussion/739410","Final team score is better of two submissions; ties count as half wins; no promised post-deadline play rate","Addison Howard staff reply 2026-09-05; directly read","yes","No for stated rules; verify current final UI","Do not assume episode frequency"
"Daily Top Episodes Dataset","Bovard Doerschuk-Tiberi","2026-07-31","https://www.kaggle.com/competitions/kaggriculture/discussion/731215","Daily episodes sorted by mean agent rating at play time then capped around 20 GB","Official staff post; directly read","yes","Quantify selection and lineage bias before population inference","Selected top corpus cannot estimate whole-field bottom quartile"
"Report a bug: Winners are deducted points, losers are added points","Less","2026-09-05","https://www.kaggle.com/competitions/kaggriculture/discussion/739699","Staff backend record showed +105.8 and -4.5; possible visual bug","Addison Howard staff reply 2026-09-06; directly read","yes; for this incident only","Cross-check backend episode records","Not evidence all visual or rating anomalies have same cause"
"Rules clarification: using a publicly published agent as a submission","SCLim2022080004","2026-08-27","https://www.kaggle.com/competitions/kaggriculture/discussion/737788","Freely and publicly available material permitted per staff reply","Addison Howard 2026-08-28; quote: Anything freely and publicly available is fair use","yes; competition permission","Asset-specific license and attribution review still required","Competition permission is not a copyright-license replacement"
"Learnings from PPO to 80k terminal cash","Mark Schatza","2026-09-01","https://www.kaggle.com/competitions/kaggriculture/discussion/738619","Author reports PPO plateau near 80k; BC warm start; 50/25/25 self-active-bank mix; hundreds of millions of turns","Original post and comments read; author report not rerun","no","Yes; full opponent/seed and compute-controlled reproduction","UNVERIFIED performance; expensive RL; reward shaping and population confounding"
"Can game parameters change mid-competition or on final evaluation?","madmax0404","2026-08-26","https://www.kaggle.com/competitions/kaggriculture/discussion/737570","Staff said parameters do not change mid-competition or final evaluation","Maria Cruz reply 2026-09-01; directly read","yes; wording observed","Reconcile with historical patch 735311 and pin version","Do not apply later statement retroactively to old replay versions"
"Small balance change","Bovard Doerschuk-Tiberi","2026-08-15","https://www.kaggle.com/competitions/kaggriculture/discussion/735311","Egg tomato carrot scarcity hinge change; use >=1.32.7; last planned change except game-breaking bugs","Staff post and README follow-up; community 120-episode and 37343-episode analyses read","yes for patch; no for community statistics","Reproduce market and per-version distribution claims","Community sample results are not measured gains for our agent"
"Is replaying action sequences extracted from public episode replays permitted under Rules 3.14.a?","Linda Liu","2026-09-02","https://www.kaggle.com/competitions/kaggriculture/discussion/738837","Using public replays to train build or inform submissions is allowed and encouraged","Bovard staff reply 2026-09-02; directly read","yes","Verify dataset license and runtime feature legality","Do not use hidden seed or future observations at inference"
"Kaggriculture Endgame Economics: Four Matched Tests That Changed My Agent","Yogesh Jadhav","2026-08-14","https://www.kaggle.com/competitions/kaggriculture/discussion/735119","Reported seed cutoff effect +781.88; static hiring cap -233; adaptive late hiring lost 2-6 under normal supply","Original matched-test post read; 8-seed development and separate 4-seed stress panel; not rerun","no","Yes; re-evaluate against our parent with seed-pair clustering","Old environment era; artificial scarcity is not native competition; not portable thresholds"
"runTimeout is inherited at 1200s - is that intentional for 720 steps?","Zotar","2026-09-07","https://www.kaggle.com/competitions/kaggriculture/discussion/739874","Raises possible whole-run timeout under sequential agent scheduling","Original post; 0 comments at read time; local schema confirms defaults only","no","Confirm actual hosted scheduling and measure end-to-end timeout","UNVERIFIED hosted behavior; not a new official runtime allowance"
"Which episodes count toward the final Bradley-Terry ranking?","Jaume Batlle i Ferrer","2026-08-05","https://www.kaggle.com/competitions/kaggriculture/discussion/732931","All competition episodes count only when BOTH participating agents remain active at final evaluation","Addison Howard 2026-08-05 and Bovard 2026-08-06 staff replies","yes","No for stated rule; monitor future clarifications","Eviction changes final eligible comparison graph"
"Actions are the real constraint, not land or money - profit per action for every crop and animal","maximo lorenzo y losada","2026-08-09","https://www.kaggle.com/competitions/kaggriculture/discussion/734033","Base-price action accounting ranks melon 142/action and warns feed/cash timing omitted","Original post; arithmetic assumptions explicit; not a market-aware experiment","no","Recompute with current price impact routing and finite horizon","Base-price comparisons are not expected profits or win-rate rankings"
"How to get started + Competition's Official Discord","Maria Cruz","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/730708","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Beware of scammers asking for source code","Bovard Doerschuk-Tiberi","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737885","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Comment on the final evaluation for this competition","Maria Cruz","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/731587","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Here are a few observations about how the rating system behaves","UNKNOWN","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/739534","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Determinism is an argument against RL here, not for it","Hanserong","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/737937","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
"Proposal: Show provisional Bradley-Terry rating","mikelou1","UNKNOWN","https://www.kaggle.com/competitions/kaggriculture/discussion/739788","UNVERIFIED; body not read","CATALOG_ONLY; heading ASCII-normalized; observed 2026-09-07","UNKNOWN","Read original and replies first","Do not promote a title to a fact"
